a_num,b_link,c_title,d_dateUK,e_dateISO,f_image,g_alt,h_desc,i_page
360,https://www.chronicle.com/blogs/linguafranca/2018/12/18/how-writing-to-deadlines-can-hold-your-life-together/,How Writing to Deadlines Can Hold Your Life Together,18 Dec 2018,2018-12-18,https://chronicle-brightspot.s3.amazonaws.com/38/14/67b33560f566a2ef0db936cd317c/1500x500.jpg,typewriter,Geoff Pullum reflects on the surprising benefits of having to write a Lingua Franca post every week for seven years.,https://www.chronicle.com/blogs/linguafranca?p=1
359,https://www.chronicle.com/blogs/linguafranca/2018/12/13/how-googles-autotype-contradicts-orwells-advice/,How Google’s Autotype Contradicts Orwell’s Advice,13 Dec 2018,2018-12-13,https://chronicle-brightspot.s3.amazonaws.com/1f/0e/f1dcb82012b779dcdcb0b6b27b5c/orwell-360x450-0.jpg,orwell,To Geoff Pullum’s amusement, Gmail now offers phrases that are exactly the opposite of what the author of Nineteen Eighty-Four said writers should use.,https://www.chronicle.com/blogs/linguafranca?p=1
358,https://www.chronicle.com/blogs/linguafranca/2018/12/03/the-web-page-that-cannot-exist/,The Web Page That Cannot Exist,3 Dec 2018,2018-12-03,https://chronicle-brightspot.s3.amazonaws.com/42/6b/67307809e42f45c274f66e53921f/giovanni-battista-piranesi-the-drawbridge-google-art-project.jpg,stairs,A tiny error on a conference web page provides Geoff Pullum with a concrete example for teaching abstract concepts in philosophy.,https://www.chronicle.com/blogs/linguafranca?p=2
357,https://www.chronicle.com/blogs/linguafranca/2018/11/26/a-pocket-brexicon-for-american-academics/,A Pocket Brexicon for American Academics,26 Nov 2018,2018-11-26,https://chronicle-brightspot.s3.amazonaws.com/27/31/40a904545b6462b3dca2fe574af9/brexit.jpg,brexit,Academics visiting Britain from the United States this holiday season will have trouble understanding some new words in the newspapers. Geoff Pullum has prepared a helpful Brexit glossary.,https://www.chronicle.com/blogs/linguafranca?p=2
356,https://www.chronicle.com/blogs/linguafranca/2018/11/07/blasphemy-and-the-strange-world-of-linguistic-crimes/,Blasphemy and the Strange World of Linguistic Crimes,7 Nov 2018,2018-11-07,,,The medieval crime of saying things that outrage the pious exists in the 21st century, says Geoff Pullum, making a “safe space” for religion written into the law in some lands.,https://www.chronicle.com/blogs/linguafranca?p=3
355,https://www.chronicle.com/blogs/linguafranca/2018/10/28/a-moment-of-sympathy-for-the-old-fogeys-and-snoots/,A Moment of Sympathy for the Old Fogeys and Snoots,28 Oct 2018,2018-10-28,https://chronicle-brightspot.s3.amazonaws.com/13/37/6b5b083841e0d2e52bb5ad18c8f4/screen-shot-2018-10-27-at-11-07-13-am.png,featherbeds,In the matter of “can not” vs. “cannot,” Geoff Pullum detects a flicker of fellow-feeling for the judgmental prescriptive usage pontificators of the world.,https://www.chronicle.com/blogs/linguafranca?p=4
354,https://www.chronicle.com/blogs/linguafranca/2018/10/24/why-linguistics-matters/,Why Linguistics Matters,24 Oct 2018,2018-10-24,https://chronicle-brightspot.s3.amazonaws.com/29/89/dd4be933449e54a5043a38aab8b1/spaghetti-allo-scoglio.jpg,spaghetti,Geoff Pullum was asked to write a book about his field for a lay audience and publisher. Two favorable referee reports left him feeling alone and deprived of counsel, so he resorted to the judgment of that harshest but most biased of referees, the one inside his head.,https://www.chronicle.com/blogs/linguafranca?p=4
353,https://www.chronicle.com/blogs/linguafranca/2018/10/15/sir-harold-evans-sneers-at-a-book-he-has-not-read/,Sir Harold Evans Sneers at a Book He Has Not Read,15 Oct 2018,2019-10-15,http://chronicle-brightspot.s3.amazonaws.com/27/9a/005d0064239936c187046d0c4a23/haroldevans.png,harold evans,Why would a man modify a book on good writing by adding a misguided slur and a misattributed quotation? Geoff Pullum wonders, resentfully.,https://www.chronicle.com/blogs/linguafranca?p=5
352,https://www.chronicle.com/blogs/linguafranca/2018/10/11/pure-gold-buried-long-ago-in-the-book-review-columns/,Pure Gold, Buried Long Ago in the Book Review Columns,11 Oct 2018,2019-10-11,http://chronicle-brightspot.s3.amazonaws.com/61/87/39fd780c59a24ff3865ff69afcc6/hockett.png,charles f. hockett,Geoff Pullum recalls a prescient observation about the relations between language and psychology, lost seven decades ago in a place so obscure you would never have found it.,https://www.chronicle.com/blogs/linguafranca?p=5
351,https://www.chronicle.com/blogs/linguafranca/2018/10/01/whats-in-a-name-a-government-loses-a-national-referendum-over-an-adjective/,What’s in a Name? A Government Loses a National Referendum Over an Adjective,1 Oct 2018,2019-10-01,http://chronicle-brightspot.s3.amazonaws.com/a7/6e/b7c75ced31fed3d9528a303f0ee5/macedonian-region.png,macedonia map,A referendum to add “North” to a country’s name failed after its president called the renaming “historical suicide.” Geoff Pullum explains why that’s ridiculous.,https://www.chronicle.com/blogs/linguafranca?p=6
